CityName,Coordinates,Description
Alderbridge,-6.3088; -1.9022,Picturesque town built around a winding silver river
Brindle Hollow,-7.7623; -3.4941,Valley settlement known for lantern festivals
Caelum Port,6.8756; -2.6751,Coastal trading port with colorful markets
Driftfen,-2.76; 4.2453,Marshside community with elevated walkways
Everspring,-8.4441; 1.4282,Fertile plain city with year-round gardens
Fallowmere,6.8099; 1.4747,Small agricultural hub with wind-swept fields
Granthold,-3.546; 2.9976,Fortified plateau town with stone terraces
Hollowridge,-4.5662; -3.3779,Cloistered valley village with misty mornings
Ironvale,-6.1214; -3.4477,Mining town known for crafted ironworks
Juniper Crossing,2.1848; -3.56,Mountain pass settlement with traders' inns
Kestrel Bay,6.399; -4.8445,Seaside resort with sheltered coves and cliffs
Larkspur Heights,4.1921; 0.949,Residential ridge famed for wildflowers
Mosswick,6.1887; 4.8044,Forest-edge town with artisan cooperatives
Northfen,-4.3063; 1.8299,Remote community at the marshland's northern tip
Oxbury,-5.1683; 3.2026,River crossing city with busy ferries
Palehaven,-7.6125; -2.8479,Quiet town with pale stone architecture
Quarryrift,-1.1701; -2.9812,Industrial settlement built near old quarries
Ravenmoor,-5.885; 2.4941,Lowland hamlet with rich storytelling traditions
Sunmarsh,-3.7065; 0.9251,Sunny wetlands known for birdwatching
Thornwick,-6.6212; 1.0777,Hill town famous for thorn orchards
Umberford,0.7514; -3.8868,Market town at the confluence of two streams
Violet Strand,0.9614; 3.2461,Coastal village with violet-hued cliffs
Wolfskeep,0.6584; -0.8004,Fortified town with old watchtowers
Xanthera,-4.9693; -2.6967,Hidden valley settlement with geothermal pools
Yarrow's End,-3.5263; -4.6449,Small hub at the crossroads of ancient paths
Zephyr Point,3.0831; 0.9359,Clifftop village with constant sea breezes
Amberfield,-1.5247; -2.9002,Sunlit farmlands and a cheerful market square
Briarfall,-6.0368; -2.1622,Waterfall-side community with mills
Cinder Hollow,-3.7663; 3.5682,Blackstone hamlet built into basalt outcrops
Dunwater,3.6124; -0.6024,Lake town with fishing barges and piers
Ebbshore,-8.8821; 1.2945,Tide-dependent harbor with shifting sandbars
Frostwell,2.9975; -4.3899,High plain town with cool nights and clear skies
Gullreach,-1.77; -4.2527,Wind-swept coast known for cliffside lighthouses
Hearthwick,-3.6144; 4.102,Cozy inland town with communal forges
Irisfen,4.871; -3.1027,Marsh town famed for iridescent reeds
Jadeford,-2.2919; -4.958,Trading stop with a jade market
Kelpport,-0.5867; 3.4838,Seaport harvesting abundant kelp beds
Lumenvale,8.0645; 1.2246,Artisan town known for glassblowing
Moonreach,4.509; 1.9108,Hamlet perched on a crescent-shaped bay
Northwick,5.0666; -1.522,Border town with busy caravans
Orchard Hollow,-8.0985; -2.5272,Apple orchards and cider festivals
Peregrine's Rest,1.3121; -4.2801,Cliff settlement popular with raptor watchers
Quillmere,-8.1796; 2.0354,Quiet lakeside retreat with writing schools
Rookstead,6.1288; 0.2947,Brick-built town with a famous rook rookery
Seabright,-4.8547; 2.3653,Sunny maritime town with wide promenades
Thalassa Point,-7.961; 1.791,Curving bay village with sheltered docks
Umber Hollow,-3.4174; -4.1717,Hidden glen known for mushroom stews
Valewind,7.3309; 0.8603,Wind-swept valley with terraced fields
Wyrm's Crossing,8.1976; 4.4258,Ancient bridge town with old legends
